SYMBOL,Top1000_candidate,Top3000_candidate,Top1000_KEGG_core,Top3000_KEGG_core,support_count,support_sources
NXNL1,0,1,0,0,1,Top3000_candidate
ORAI1,0,1,0,0,1,Top3000_candidate
OTUB1,0,1,0,0,1,Top3000_candidate
P2RX1,0,1,0,0,1,Top3000_candidate
PANK2,0,1,0,0,1,Top3000_candidate
PDCD6,0,1,0,0,1,Top3000_candidate
PDCD6IP,0,1,0,0,1,Top3000_candidate
PLXDC1,0,1,0,0,1,Top3000_candidate
PLXND1,0,1,0,0,1,Top3000_candidate
PML,0,1,0,0,1,Top3000_candidate
POLR3E,0,1,0,0,1,Top3000_candidate
PPARGC1A,0,1,0,0,1,Top3000_candidate
PQBP1,0,1,0,0,1,Top3000_candidate
PRAMEF1,1,0,0,0,1,Top1000_candidate
PRAMEF13,1,0,0,0,1,Top1000_candidate
PRAMEF2,1,0,0,0,1,Top1000_candidate
PRDX1,0,1,0,0,1,Top3000_candidate
PRDX2,0,1,0,0,1,Top3000_candidate
PRDX4,0,1,0,0,1,Top3000_candidate
PROX1,0,1,0,0,1,Top3000_candidate
PSMD10,0,1,0,0,1,Top3000_candidate
PTPRO,1,0,0,0,1,Top1000_candidate
PUF60,0,1,0,0,1,Top3000_candidate
PYCR1,0,1,0,0,1,Top3000_candidate
PYROXD1,0,1,0,0,1,Top3000_candidate
RAP1GAP,0,1,0,0,1,Top3000_candidate
RASIP1,0,1,0,0,1,Top3000_candidate
RBPJ,0,1,0,0,1,Top3000_candidate
REN,0,1,0,0,1,Top3000_candidate
RGCC,0,1,0,0,1,Top3000_candidate
RGMA,1,0,0,0,1,Top1000_candidate
RHOD,0,1,0,0,1,Top3000_candidate
RIPK3,0,1,0,0,1,Top3000_candidate
RMDN3,0,1,0,0,1,Top3000_candidate
ROBO1,0,1,0,0,1,Top3000_candidate
RPL3L,1,0,0,0,1,Top1000_candidate
RSPO4,1,0,0,0,1,Top1000_candidate
RTN4,0,1,0,0,1,Top3000_candidate
SASH1,1,0,0,0,1,Top1000_candidate
SEMA4A,0,1,0,0,1,Top3000_candidate
SERINC3,0,1,0,0,1,Top3000_candidate
SFPQ,0,1,0,0,1,Top3000_candidate
SGCA,0,1,0,0,1,Top3000_candidate
SGCB,0,1,0,0,1,Top3000_candidate
SH2D1B,0,1,0,0,1,Top3000_candidate
SH3RF2,1,0,0,0,1,Top1000_candidate
SIAH1,0,1,0,0,1,Top3000_candidate
SLC23A2,0,1,0,0,1,Top3000_candidate
SLC25A24,0,1,0,0,1,Top3000_candidate
SLC34A1,0,1,0,0,1,Top3000_candidate
SLC4A11,0,1,0,0,1,Top3000_candidate
SLFN11,0,1,0,0,1,Top3000_candidate
SLIT2,0,1,0,0,1,Top3000_candidate
SLPI,0,1,0,0,1,Top3000_candidate
SMOC1,1,0,0,0,1,Top1000_candidate
SORBS3,1,0,0,0,1,Top1000_candidate
SPOCK1,1,0,0,0,1,Top1000_candidate
SRPK3,0,1,0,0,1,Top3000_candidate
SRXN1,0,1,0,0,1,Top3000_candidate
STAU1,0,1,0,0,1,Top3000_candidate
STIM1,1,0,0,0,1,Top1000_candidate
STK25,0,1,0,0,1,Top3000_candidate
STS,0,1,0,0,1,Top3000_candidate
SULF2,0,1,0,0,1,Top3000_candidate
SVIL,0,1,0,0,1,Top3000_candidate
TBKBP1,0,1,0,0,1,Top3000_candidate
TBX1,0,1,0,0,1,Top3000_candidate
TCIM,0,1,0,0,1,Top3000_candidate
TEAD4,0,1,0,0,1,Top3000_candidate
TENT5B,1,0,0,0,1,Top1000_candidate
TERF2,0,1,0,0,1,Top3000_candidate
TFPT,0,1,0,0,1,Top3000_candidate
TIE1,0,1,0,0,1,Top3000_candidate
TLR10,0,1,0,0,1,Top3000_candidate
TMEFF2,0,1,0,0,1,Top3000_candidate
TMEM182,0,1,0,0,1,Top3000_candidate
TOP2B,0,1,0,0,1,Top3000_candidate
TP63,0,1,0,0,1,Top3000_candidate
TPT1,1,0,0,0,1,Top1000_candidate
TRBV24-1,0,1,0,0,1,Top3000_candidate
TRBV27,0,1,0,0,1,Top3000_candidate
TRBV7-3,0,1,0,0,1,Top3000_candidate
TRIM32,0,1,0,0,1,Top3000_candidate
TRIM35,0,1,0,0,1,Top3000_candidate
TSKU,0,1,0,0,1,Top3000_candidate
TTC4,0,1,0,0,1,Top3000_candidate
TXNIP,0,1,0,0,1,Top3000_candidate
TYMP,0,1,0,0,1,Top3000_candidate
UAP1,0,1,0,0,1,Top3000_candidate
UFM1,1,0,0,0,1,Top1000_candidate
UNC45B,0,1,0,0,1,Top3000_candidate
USP29,0,1,0,0,1,Top3000_candidate
VAMP5,0,1,0,0,1,Top3000_candidate
VKORC1L1,0,1,0,0,1,Top3000_candidate
WWOX,0,1,0,0,1,Top3000_candidate
XRCC5,0,1,0,0,1,Top3000_candidate
YTHDF1,0,1,0,0,1,Top3000_candidate
ZBTB18,0,1,0,0,1,Top3000_candidate
ZC3HAV1,0,1,0,0,1,Top3000_candidate
ZNF385A,0,1,0,0,1,Top3000_candidate
ZNF385B,0,1,0,0,1,Top3000_candidate
ZNF830,1,0,0,0,1,Top1000_candidate
